UF,MUNICIPIO,NO_FANTASIA,CO_CNES,notificacoes
PA,BARCARENA,HOSPITAL MUNICIPAL WANDICK GUTIERREZ,2314037,58
PA,BELEM,HOSPITAL GERAL UNIMED,6522734,58
PE,OURICURI,HOSPITAL REGIONAL FERNANDO BEZERRA,2712040,58
PE,RECIFE,HOSPITAL SANTA JOANA RECIFE,2517132,58
PR,SARANDI,METROPOLITANA DE SARANDI,2825589,58
SC,BRACO DO NORTE,HOSPITAL SANTA TERESINHA,2665883,58
SP,EMBU-GUACU,UNIDADE MISTA DE SAUDE DE EMBUGUACU,2072033,58
SP,JACAREI,HOSPITAL ALVORADA JACAREI,2793466,58
SP,LIMEIRA,MEDICAL LIMEIRA,2825309,58
SP,SAO PAULO,HOSPITAL INFANTIL SABARA,6614426,58
TO,PALMAS,HOSPITAL OSWALDO CRUZ,2755246,58
MG,CURVELO,PRONTO ATENDIMENTO MUNICIPAL DR MARCIO CARVALHO LOPES,2204762,57
MT,CUIABA,POLICLINICA VERDAO,2471019,57
PE,CABO DE SANTO AGOSTINHO,UPA CABO DE SANTO AGOSTINHO,6690742,57
PE,FEIRA NOVA,HOSPITAL DE CAMPANHA COVID 19 DE FEIRA NOVA,111813,57
PE,RECIFE,HOSPITAL DE CANCER DE PERNAMBUCO,582,57
PI,TERESINA,HOSPITAL SANTA MARIA,2323257,57
PI,TERESINA,HOSPITAL SAO PAULO,2727005,57
RJ,RIO DE JANEIRO,HOSPITAL CASA SAO BERNARDO,9214763,57
RJ,RIO DE JANEIRO,HOSPITAL ISRAELITA ALBERT SABIN,3603539,57
RJ,RIO DE JANEIRO,HOSPITAL MEMORIAL ENGENHO DE DENTRO,7735022,57
RS,CAMPO BOM,HOSPITAL DE CAMPO BOM DR LAURO REUS,2232073,57
RS,ERECHIM,HOSPITAL DE CARIDADE DE ERECHIM,2249472,57
SP,PERUIBE,AMBULATORIO DE DOENCAS INFECTO CONTAGIOSAS,9691723,57
AM,MANAUS,SPA ZONA SUL,2016435,56
AM,SAO GABRIEL DA CACHOEIRA,HOSPITAL DE GUARNICAO DE SAO GABRIEL DA CACHOEIRA,4004787,56
BA,VITORIA DA CONQUISTA,SAMUR,2407205,56
PE,PAULISTA,HOSPITAL MIGUEL ARRAES,6431569,56
RJ,ARARUAMA,UPA UNIDADE DE PRONTO ATENDIMENTO DE ARARUAMA,6542891,56
RJ,MACAE,CLINICA SAO LUCAS,3978044,56
RJ,RIO DE JANEIRO,HOSPITAL AMERICAN COR,3006050,56
RJ,RIO DE JANEIRO,SMS COORDENADORIA GERAL DE ATENCAO PRIMARIA AP 32,5677351,56
RJ,SAO JOAO DE MERITI,CASA DE SAUDE E MATERNIDADE TEREZINHA DE JESUS LTDA,3130339,56
RN,PAU DOS FERROS,HOSPITAL REGIONAL DR CLEODON CARLOS DE ANDRADE,2409275,56
RO,PORTO VELHO,HOSPITAL UNIMED,6205224,56
RS,CARAZINHO,HOSPITAL COMUNITARIO DE CARAZINHO,2262274,56
RS,SAPIRANGA,HOSPITAL SAPIRANGA,2232154,56
RS,TORRES,HOSPITAL BENEFICENTE NOSSA SENHORA DOS NAVEGANTES,2707950,56
SP,ARARAQUARA,HOSPITAL SAO PAULO,3625087,56
SP,CABREUVA,HOSPITAL SAO ROQUE CABREUVA,2079313,56
SP,ITANHAEM,UNIDADE DE PRONTO ATENDIMENTO DE ITANHAEM,7711077,56
SP,MAIRIPORA,HOSPITAL E MATERNIDADE MAIRIPORA,2086336,56
SP,SANTOS,SECAO PRONTO SOCORRO DA ZONA NOROESTE SEPROS ZNO,2786338,56
SP,SUZANO,HOSPITAL SANTA MARIA DE SUZANO,7849184,56
AM,EIRUNEPE,UNIDADE HOSPITALAR DE EIRUNEPE,2016397,55
AM,MANAUS,HOSPITAL E P S DA CRIANCA DA ZONA LESTE,2012030,55
GO,CALDAS NOVAS,UPA UNIDADE DE PRONTO ATENDIMENTO,7064578,55
GO,NEROPOLIS,HOSPITAL SAGRADO CORACAO DE JESUS NEROPOLIS,2442019,55
MG,BELO HORIZONTE,HOSPITAL EVANGELICO DE BELO HORIZONTE,26808,55
MG,UBERLANDIA,UAI SAO JORGE,5617286,55
PB,CAMPINA GRANDE,HOSPITAL UNIVERSITARIO ALCIDES CARNEIROUFCG,2676060,55
PB,JOAO PESSOA,COMPLEXO HOSPITALAR DE MANGABEIRA GOV TARCISIO BURITY,2399628,55
PE,GOIANA,HOSPITAL BELARMINO CORREIA,2711885,55
PE,RECIFE,HOSPITAL DE CAMPANHA DO RECIFE HPR V AGAMENON MAGALHAES,531,55
PR,CASCAVEL,HOSPITAL POLICLINICA CASCAVEL,2738899,55
RJ,RIO DE JANEIRO,HOSPITAL DO AMPARO,3013014,55
SP,BARRA BONITA,HOSPITAL E MATERNIDADE SAO JOSE BARRA BONITA,2082632,55
SP,BAURU,UPA BELA VISTA,6822576,55
SP,OSASCO,UPA JOSE CAMPOS BARRETO ZEQUINHA BARRETO,7152574,55
SP,SOROCABA,UNIDADE PRE HOSPITALAR ZONA NORTE SOROCABA,2062054,55
BA,SALVADOR,PA MARIA DA CONCEICAO SANTIAGO IMBASSAY,7033753,54
CE,FORTALEZA,HOSPITAL HAROLDO JUACABA,2723220,54
GO,ANAPOLIS,HOSPITAL EVANGELICO GOIANO SA,2442108,54
GO,CATALAO,SANTA CASA DE MISERICORDIA DE CATALAO,2442612,54
MT,SINOP,HOSPITAL E MATERNIDADE DOIS PINHEIROS,2795604,54
PA,ALENQUER,HOSPITAL SANTO ANTONIO,2331861,54
RJ,ANGRA DOS REIS,HOSPITAL DE PRAIA BRAVA,2281384,54
RJ,RIO DE JANEIRO,SMS UPA 24H VILA KENNEDY AP 51,6487815,54
RO,VILHENA,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA,2798484,54
RS,PAROBE,HOSPITAL SAO FRANCISCO DE ASSIS,2227762,54
SP,BOTUCATU,HOSPITAL UNIMED BOTUCATU,7612990,54
SP,ORLANDIA,HOSPITAL BENEFICENTE SANTO ANTONIO ORLANDIA,2745798,54
CE,CRATO,HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS,2415488,53
CE,SAO GONCALO DO AMARANTE,UNIDADE DE PRONTO ATENDIMENTO DE SAO GONCALO DO AMARANTE,7396805,53
MG,MURIAE,HOSPITAL DO CANCER DE MURIAE,2195453,53
MT,SORRISO,HOSPITAL MATERNIDADE 13 DE MAIO VILA ROMANA,7901127,53
PA,CURUCA,HOSPITAL MUNICIPAL DE CURUCA,2311992,53
PA,OEIRAS DO PARA,HOSPITAL DE PEQUENO PORTE,6578373,53
PA,OURILANDIA DO NORTE,HOSPITAL MUNICIPAL JADSON PESCONI,2322935,53
PE,PAULISTA,UPA PAULISTA,6443419,53
PR,GUARAPUAVA,HOSPITAL DE CARIDADE SAO VICENTE DE PAULO,2741989,53
PR,LONDRINA,HOSPITAL DO CORACAO UNIDADE BELA SUICA,7758391,53
RJ,CABO FRIO,UNIDADE DE PRONTO ATENDIMENTO UPA II,7003692,53
RS,GRAVATAI,HOSPITAL DOM JOAO BECKER,2232049,53
SC,BRUSQUE,IMIGRANTES HOSPITAL E MATERNIDADE,9543856,53
SP,GUARIBA,SANTA CASA DE GUARIBA,2026805,53
SP,OSASCO,PS FENELON GUEDES PEREIRA,5932696,53
SP,REGISTRO,HOSPITAL SAO JOSE REGISTRO,5426936,53
SP,SALTO DE PIRAPORA,SANTA CASA SALTO DE PIRAPORA,2079429,53
SP,SAO BERNARDO DO CAMPO,UPA RIACHO GRANDE,6650864,53
SP,SAO PAULO,HSANP HOSPITAL,3027805,53
SP,SAO PAULO,PSM BALNEARIO SAO JOSE,2752093,53
AL,MACEIO,HOSPITAL VIDA,2006960,52
BA,LAURO DE FREITAS,HOSPITAL AEROPORTO,3260801,52
GO,ANAPOLIS,HOSPITAL DE URGENCIAS DR HENRIQUE SANTILLO,3771962,52
GO,MINEIROS,UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS,7813767,52
MA,CHAPADINHA,HOSPITAL REGIONAL DE CHAPADINHA,9613374,52
MA,PINHEIRO,HOSPITAL REGIONAL DA BAIXADA MARANHENSE DR JACKSON LAGO,7826060,52
MG,BETIM,UPA JOSE SABINO NETO TERESOPOLIS,2126133,52
MG,MONTES CLAROS,HOSPITAL AROLDO TOURINHO,2219638,52
MG,TIMOTEO,UPA GERALDO REIS RIBEIRO,46701,52
MT,IPIRANGA DO NORTE,PSM IPIRANGA DO NORTE,5883628,52
PA,PACAJA,UNIDADE MISTA DE PACAJA,2616211,52
PI,TERESINA,HOSPITAL RIO POTY,9624325,52
PR,APUCARANA,HNSG HOSPITAL DA PROVIDENCIA,2439360,52
RJ,PETROPOLIS,BENEFICENCIA PORTUGUESA DE PETROPOLIS,3030415,52
RJ,RIO DE JANEIRO,MS INST NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA JAMIL HADDAD,2273276,52
SC,SAO BENTO DO SUL,HOSPITAL E MATERNIDADE SAGRADA FAMILIA,2521792,52
SP,COSMOPOLIS,HOSPITAL BENEFICENTE SANTA GERTRUDES,2023644,52
SP,JAGUARIUNA,HOSPITAL MUNICIPAL WALTER FERRARI,2023474,52
SP,LINS,SANTA CASA DE LINS,2758245,52
SP,MATAO,HOSPITAL CARLOS FERNANDO MALZONI MATAO,2090961,52
SP,MIRANDOPOLIS,HOSPITAL ESTADUAL DE MIRANDOPOLIS DR OSWALDO BRANDI FARIA,2083019,52
SP,SAO JOSE DOS CAMPOS,HOSPITAL POLICLIN,3042529,52
SP,SAO PAULO,HOSP GERAL DE SAO PAULO,2078007,52
SP,SAO PAULO,PS MUN PROF JOAO CATARIN MEZOMO,2082837,52
BA,SALVADOR,UPA 24H PROF ADROALDO ALBERGARIA,4774,51
ES,LINHARES,VIGILANCIA EPIDEMIOLOGICA,7569831,51
GO,FORMOSA,HOSPITAL REGIONAL DE FORMOSA DR CESAR SAAD FAYAD,2534967,51
GO,PORANGATU,HOSPITAL DE CAMPANHA COVID 19 HCAMP PORANGATU,2442477,51
MG,GUAXUPE,SANTA CASA DE MISERICORDIA DE GUAXUPE,2796449,51
MS,AQUIDAUANA,HOSPITAL DA CIDADE,2659417,51
MT,ARIPUANA,SECRETARIA MUNICIPAL DE SAUDE DE ARIPUANA,5653916,51
PA,CAPANEMA,HOSPITAL REGIONAL PUBLICO DOS CAETES DR JORGE NETO DA COSTA,9685871,51
PE,TORITAMA,HOSPITAL DE CAMPANHA DE TORITAMA,128651,51
PR,FRANCISCO BELTRAO,HOSPITAL REGIONAL DO SUDOESTE WALTER ALBERTO PECOITS F B,6424341,51
PR,MARINGA,HOSPITAL E MATERNIDADE MARINGA,2587343,51
RJ,CASIMIRO DE ABREU,HOSPITAL MUNICIPAL ANGELA MARIA SIMOES MENEZES,2280396,51
RJ,MARICA,ERNESTO CHE GUEVARA SMSM,9895124,51
RJ,RIO DE JANEIRO,HOSPITAL RIO BOTAFOGO,9198024,51
RN,NATAL,HUOL HOSPITAL UNIVERSITARIO ONOFRE LOPES,2653982,51
RN,PARNAMIRIM,UPA MARIA NAZARE,7885199,51
RS,TRES PASSOS,HOSPITAL CARIDADE TRES PASSOS,2228726,51
SC,CONCORDIA,HOSPITAL SAO FRANCISCO,2303892,51
SC,CURITIBANOS,HOSPITAL HELIO ANJOS ORTIZ,2302101,51
SP,BAURU,HOSPITAL ESTADUAL BAURU,2790602,51
SP,BAURU,UPA GEISEL,7206771,51
SP,SAO PAULO,CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO,2078287,51
AM,URUCURITUBA,UNIDADE HOSPITALAR DE URUCURITUBA,2016567,50
BA,SALVADOR,HOSPITAL SANTA CLARA,3774945,50
CE,IRAUCUBA,HOSPITAL MUNICIPAL DR PEDRO DE CASTRO MARINHO,2479478,50
ES,LINHARES,HOSPITAL GERAL DE LINHARES HGL,2465825,50
MA,IMPERATRIZ,HMI HOSPITAL MUNICIPAL DE IMPERATRIZ,2456672,50
MG,ARAXA,SANTA SANTA CASA DE MISERICORDIA,2164620,50
MT,SINOP,HOSPITAL SANTO ANTONIO,2795671,50
PE,CARUARU,CASA DE SAUDE SANTA EFIGENIA LTDA,2428369,50
RS,VERANOPOLIS,HOSPITAL COMUNITARIO SAO PEREGRINO LAZZIOZI,2707977,50
SE,ARACAJU,CLINICA RENASCENCA SA,2444259,50
SP,CAIEIRAS,HOSPITAL DE CLINICAS CAIEIRAS,6817203,50
SP,CAMPINAS,UNIDADE DE PRONTO ATENDIMENTO CARLOS LOURENCO,9912266,50
SP,MOJI MIRIM,IRMANDADE DA STA CASA DE MISERICORD DE MOGI MIRIM MOGI MIRIM,2088193,50
SP,OSASCO,HOSPITAL E MATERNIDADE NOSSA SENHORA DE FATIMA,6403069,50
AM,MANAUS,HOSPITAL GERAL DE MANAUS,9344314,49
CE,FORTALEZA,UNIDADE PRONTO ATENDIMENTO CONJUNTO CEARA,7360851,49
MG,IBIRITE,NUCLEO DE VIGILANCIA EM SAUDE,5311403,49
MG,MONTES CLAROS,HOSPITAL DAS CLINICAS DOUTOR MARIO RIBEIRO DA SILVEIRA,7366108,49
MS,DOURADOS,UNIDADE DE PRONTO ATENDIMENTO DR AFRANIO MARTINS,7546777,49
PA,MARABA,HOSPITAL REGIONAL DO SUDESTE DO PARA DR GERALDO VELOSO,5599504,49
PE,CAMARAGIBE,HOSPITAL DE ESPECIALIDADES DE CAMARAGIBE ARISTEU CHAVES,6723950,49
PR,SANTO ANTONIO DA PLATINA,HOSPITAL REGIONAL DO NORTE PIONEIRO,3316300,49
RJ,NOVA FRIBURGO,HOSPITAL SERRANO,2298104,49
RJ,NOVA IGUACU,CASA DE SAUDE NOSSA SENHORA DE FATIMA N IGUACU S A,3019527,49
RJ,RIO DE JANEIRO,HOSPITAL MEMORIAL FUAD CHIDID,9567933,49
RJ,RIO DE JANEIRO,HOSPITAL VITAL,3603105,49
RS,OSORIO,HOSPITAL SAO VICENTE DE PAULO,2257815,49
RS,PORTO ALEGRE,HBMPA,2237156,49
SC,TREZE DE MAIO,HOSPITAL SAO SEBASTIAO,2778858,49
SP,ASSIS,UPA RUY SILVA,7640307,49
SP,ITAPEVI,HOSPITAL E MATERNIDADE NOVA VIDA,2746387,49
SP,LENCOIS PAULISTA,HOSPITAL NOSSA SENHORA DA PIEDADE,2077582,49
SP,OSASCO,PRONTO SOCORRO DR OSMAR MESQUITA,3828107,49
AL,MACEIO,HOSPITAL ESCOLA DR HELVIO AUTO,2720035,48
AM,MANAUS,SPA ELIAMEME RODRIGUES MADY,3368599,48
AM,SILVES,UNIDADE HOSPITALAR DE SILVES,2016249,48
BA,SALVADOR,HOSPITAL ARISTIDES MALTEZ,3786,48
CE,MARANGUAPE,UPA 24HS MARANGUAPE,6893295,48
DF,BRASILIA,UPA UNIDADE DE PRONTO ATENDIMENTO DE SAO SEBASTIAO,7116756,48
MT,GUARANTA DO NORTE,SECRETARIA MUNICIPAL DE SAUDE DE GUARANTA DO NORTE,5482119,48
PA,ITAITUBA,HOSPITAL MUNICIPAL DE ITAITUBA,2331098,48
RN,NATAL,HOSPITAL MARIA ALICE FERNANDES,2654261,48
SP,CAPAO BONITO,SANTA CASA DE CAPAO BONITO,2079097,48
SP,SAO JOSE DOS CAMPOS,HOSPITAL DIA E PRONTO ATENDIMENTO UNIMED SAO JOSE DOS CAMPOS,3199770,48
SP,SAO PAULO,AMA SACOMA,6133622,48
AM,AUTAZES,UNIDADE HOSPITALAR DE AUTAZES,2013045,47
AM,BARREIRINHA,UNIDADE HOSPITAR DE BARREIRINHA,2012022,47
BA,SALVADOR,HOSPITAL PROHOPE,2389738,47
CE,VICOSA DO CEARA,HOSP MATERN MUNICIPAL,2561425,47
GO,MINEIROS,HOSPITAL MUNICIPAL DR EVARISTO VILELA MACHADO,8013543,47
MA,SAO LUIS,HOSPITAL MUNICIPAL DJALMA MARQUES SOCORRAO I,2308762,47
MG,CAMPO BELO,SANTA CASA DE CAMPO BELO,2192020,47
MG,SETE LAGOAS,HOSPITAL MUNICIPAL MONSENHOR FLAVIO DAMATO,2109867,47
PA,MOCAJUBA,HOSPITAL MUNICIPAL MARIA DO CARMO GOMES,2677431,47
PA,NOVO PROGRESSO,HOSPITAL MUNICIPAL DE NOVO PROGRESSO,2331578,47
PE,MORENO,HOSPITAL ARMINDO MOURA,2343738,47
RJ,NOVA IGUACU,SES RJ UPA 24H NOVA IGUACU II,6646034,47
RJ,SAO GONCALO,HOSPITAL DR LUIZ PALMIER,2292084,47
RO,JARU,HOSPITAL MUNICIPAL SANDOVAL DE ARAUJO DANTAS JARU,2808609,47
RS,ENCANTADO,HOSPITAL SANTA TERESINHA ENCANTADO,2252228,47
RS,IJUI,HOSPITAL UNIMED,3506959,47
SP,ANDRADINA,SANTA CASA DE ANDRADINA,2082691,47
SP,PINDAMONHANGABA,HOSPITAL 10 DE JULHO,7755333,47
SP,SAO JOAQUIM DA BARRA,SANTA CASA DE SAO JOAQUIM DA BARRA,2080044,47
SP,SAO PAULO,AMA PARELHEIROS,6135927,47
MA,CODO,UPA CODO,6931960,46
MG,JUIZ DE FORA,HOSPITAL ALBERT SABIN,3019063,46
MS,SAO GABRIEL DO OESTE,HOSPITAL MUNICIPAL JOSE VALDIR ANTUNES DE OLIVEIRA,2659603,46
PE,IGARASSU,UPA IGARASSU,6443370,46
RJ,MAGE,HOSPITAL MUNICIPAL DE MAGE,2278332,46
RJ,RIO DE JANEIRO,MS INC INSTITUTO NACIONAL DE CARDIOLOGIA,2280132,46
RO,BURITIS,HOSPITAL REGIONAL DE BURITIS,2807076,46
RS,TRAMANDAI,HOSPITAL TRAMANDAI,2793008,46
SC,GASPAR,HOSPITAL DE GASPAR,2691485,46
SC,XAXIM,HOSPITAL FREI BRUNO,2411415,46
SE,ARACAJU,HOSPITAL SANTA IZABEL,2232,46
SP,CACAPAVA,HOSPITAL UNIMED DE CACAPAVA,6426247,46
SP,TATUI,HOSPITAL UNIMED TATUI JOSE FCO M DE ALMEIDA DR KIKO,7368704,46
BA,TEIXEIRA DE FREITAS,UPA UNIDADE DE PRONTO ATENDIMENTO,7964145,45
CE,PARAIPABA,HOSP MUNIC DE PARAIPABA,2561891,45
GO,GOIANIA,HOSPITAL GERAL DE GOIANIA DR ALBERTO RASSI HGG,2338734,45
MA,BARREIRINHAS,HOSPITAL REGIONAL DE BARREIRINHAS,7013620,45
MA,LAGO DA PEDRA,HOSPITAL PROFESSOR SERRA DE CASTRO,2696029,45
MA,SAO BERNARDO,HOSPITAL MUNICIPAL FELIPE JORGE,2451565,45
MA,SAO LUIS,SOCORRAO II,2308800,45
MG,CONTAGEM,UNIDADE DE PRONTO ATENDIMENTO UNIDADE XVI UPA XVI,6008054,45
MG,IPATINGA,UPA JOSE ISABEL DE NASCIMENTO,7417659,45
MT,CUIABA,HOSPITAL SANTA HELENA,2311682,45
PA,BELEM,UPA DASAC,9020284,45
PB,SAO BENTO,HOSPITAL MARIA PAULINO LUCIO,2613549,45
RJ,BELFORD ROXO,HOSPITAL MUNICIPAL DE BELFORD ROXO,2289571,45
SC,FLORIANOPOLIS,HOSPITAL BAIA SUL,6680305,45
SP,AMPARO,BENEFICENCIA PORTUGUESA DE AMPARO,2082195,45
SP,BAURU,HOSPITAL E MATERNIDADE MARIA JOSE,7482450,45
SP,ITATIBA,SANTA CASA DE MISERICORDIA DE ITATIBA,2023709,45
SP,MAIRIPORA,HOSPITAL DE CAMPANHA COVID 19 DE MAIRIPORA,115509,45
SP,RIBEIRAO PRETO,VIGILANCIA EPIDEMIOLOGICA DE RIBEIRAO PRETO DIVISAO,2044277,45
SP,SOCORRO,HOSPITAL DR RENATO SILVA DE SOCORRO,2079704,45
AM,MANAUS,HOSPITAL PORTUGUES,2018098,44
BA,SALVADOR,SEMEC CENTRO MEDICO HOSPITALAR AGENOR PAIVA,3001814,44
CE,CASCAVEL,UPA IRMA SILVEIRA,107239,44
CE,FORTALEZA,UNIDADE PRONTO ATENDIMENTO AUTRAN NUNES,6999506,44
DF,BRASILIA,UPA NUCLEO BANDEIRANTE,7111924,44
GO,AGUAS LINDAS DE GOIAS,HOSPITAL MUNICIPAL BOM JESUS,2442728,44
GO,GOIANIA,HOSPITAL MATERNO INFANTIL,2339196,44
MA,CODO,HGM HOSPITAL GERAL MUNICIPAL DR MARCOLINO JR,2449641,44
MG,BELO HORIZONTE,HOSPITAL DA BALEIA,2695324,44
MG,DIVINOPOLIS,UPA 24 HORAS PADRE ROBERTO CORDEIRO MARTINS,7469144,44
MG,JANAUBA,HOSPITAL REGIONAL DE JANAUBA,6920977,44
MS,DOURADOS,HOSPITAL DA VIDA,5610044,44
MT,CUIABA,HOSPITAL MUNICIPAL DE CUIABA E P S DR LEONY PALMA CARVALHO,9209352,44
PA,IRITUIA,HOSPITAL MUNICIPAL DE IRITUIA,2330970,44
PA,SALINOPOLIS,HOSPITAL REGIONAL DR OLIMPIO CARDOSO DA SILVEIRA,2314819,44
PA,SENADOR JOSE PORFIRIO,HOSPITAL MUNICIPAL DE SENADOR JOSE PORFIRIO,2330946,44
PE,LAJEDO,HOSPITAL MARIA DA PENHA DOURADO CAVALCANTE,2703025,44
PR,PARANAVAI,SANTA CASA DE PARANAVAI,2754738,44
RJ,BELFORD ROXO,UPA 24H BOM PASTOR BELFORD ROXO,6035809,44
RJ,RIO BONITO,UNIDADE DE PRONTO ATENDIMENTO UPA RIO BONITO,6635172,44
RJ,RIO DE JANEIRO,SES UPA 24H MARE AP 31,5955211,44
RO,PORTO VELHO,HOSPITAL DE AMOR AMAZONIA,7068336,44
SC,JOINVILLE,CENTRO HOSPITALAR UNIMED,2521431,44
SP,HORTOLANDIA,HOSPITAL SAMARITANO,7019661,44
SP,PIEDADE,SANTA CASA PIEDADE,2083175,44
AL,MACEIO,UPA 24 HORAS DR ISMAR GATTO,2008785,43
CE,CAUCAIA,UNIDADE DE PRONTO ATENDIMENTO DE CAUCAIA,7077971,43
ES,CACHOEIRO DE ITAPEMIRIM,POLICLINICA PAULO PEREIRA GOMES,3239284,43
GO,GOIANIA,HOSPITAL SAMARITANO,2339706,43
GO,VALPARAISO DE GOIAS,CAIS VALPARAISO II,2382865,43
MA,BALSAS,HOSPITAL REGIONAL DE BALSAS,9336508,43
MG,BELO HORIZONTE,HOSPITAL UNIVERSITARIO CIENCIAS MEDICAS,4034236,43
MG,OURO PRETO,OURO PRETO SANTA CASA DE OURO PRETO,2163829,43
MS,PONTA PORA,HOSPITAL REGIONAL DR JOSE DE SIMONE NETTO,2651610,43
MT,PEIXOTO DE AZEVEDO,SECRETARIA MUNICIPAL DE SAUDE DE PEIXOTO DE AZEVEDO,5543991,43
PE,PETROLINA,HU UNIVASF,6042414,43
PE,SALGUEIRO,HOSPITAL REGIONAL INACIO DE SA,2356287,43
PE,SAO CAITANO,HOSPITAL MUNICIPAL ADOLPHO PEREIRA CARNEIRO,2703351,43
RJ,MIGUEL PEREIRA,HOSPITAL MUNICIPAL LUIZ GONZAGA,2283239,43
RJ,PETROPOLIS,HOSPITAL CLINICO DE CORREAS H C C,2275619,43
RJ,RIO DE JANEIRO,SMS UPA 24 H SEPETIBA AP 53,6926177,43
RJ,SAO FRANCISCO DE ITABAPOANA,HOSPITAL MUNICIPAL MANOEL CAROLA,2291320,43
RO,JI-PARANA,POLO REGIONAL DE JI PARANA,6053912,43
SC,ICARA,FUNDACAO SOCIAL HOSPITALAR DE ICARA,2420015,43
SP,AGUDOS,CENTRO DE SAUDE II DR JACOB CASSEB,2790092,43
SP,SAO PAULO,HOSP INDEPENDENCIA,2078406,43
BA,JUAZEIRO,UPA DR JOAO OLIVEIRA,7094647,42
BA,SALVADOR,UPA 24H BROTAS,7986076,42
MG,UBERABA,CLINICAS INTEGRADAS HOSPITAL UNIVERSITARIO MARIO PALMERIO,2195585,42
MS,CAMPO GRANDE,CLINICA DE CAMPO GRANDE SA,2599856,42
MT,JANGADA,PRONTO ATENDIMENTO MUNICIPAL DE JANGADA,2795507,42
PB,JOAO PESSOA,HOSPITAL DE GUARNICAO DE JOAO PESSOA,2399814,42
RJ,NITEROI,HOSPITAL SAO LUCAS,3296806,42
RS,TENENTE PORTELA,HOSPITAL SANTO ANTONIO TENENTE PORTELA,5384117,42
SP,BARUERI,HOSPITALIS,3272591,42
SP,PORTO FERREIRA,HOSPITAL DONA BALBINA,2082322,42
SP,RIO CLARO,HOSPITAL DE CAMPANHA COVID 19 PA 24 H BAIRRO CHERVEZON,2033135,42
SP,SAO JOSE DO RIO PRETO,SECRETARIA MUNICIPAL DE SAUDE,2705648,42
SP,TATUI,SANTA CASA DE MISERICORDIA DE TATUI,2079135,42
AL,MACEIO,HUMANITE COMPLEXO MEDICO HOSPITALAR LTDA,9226702,41
AP,MACAPA,SEMSA,6671047,41
CE,BARBALHA,SERVICO DE VERIFICACAO DE OBITOS E CAUSAS MORTIS SVO,5522463,41
CE,FORTALEZA,HOSPITAL E MATERNIDADE GASTROCLINICA,3053687,41
ES,VILA VELHA,HOSPITAL ANTONIO BEZERRA DE FARIAS,2546957,41
ES,VITORIA,HOSPITAL SANTA CASA DE VITORIA,11746,41
GO,GOIANIA,CAIS VILA NOVA,2506327,41
MA,CHAPADINHA,UPA JOSE OLIVEIRA NUNES,9196099,41
MG,CARANGOLA,HOSPITAL EVANGELICO DE CARANGOLA,2114267,41
MG,CONTAGEM,UNIDADE DE PRONTO ATENDIMENTO PETROLANDIA UPA,2190125,41
MG,FRUTAL,HOSPITAL MUNICIPAL FREI GABRIEL,2098539,41
MG,JUIZ DE FORA,HPS DR MOZART GERALDO TEIXEIRA,2208156,41
PA,SAO DOMINGOS DO ARAGUAIA,HOSPITAL MUNICIPAL DE SAO DOMINGOS DO ARAGUAIA,2312298,41
PB,JOAO PESSOA,SERVICO DE VERIFICACAO DE OBITO DE JOAO PESSOA SVO,7584164,41
PE,ARCOVERDE,HOSPITAL REGIONAL RUI DE BARROS CORREIA,2551764,41
RJ,RIO DE JANEIRO,HOSPITAL SAO LUCAS COPACABANA,2296632,41
RJ,SAO GONCALO,HOSPITAL DO CORACAO SAMCORDIS,3029131,41
RJ,SAO GONCALO,SES RJ UPA 24H SAO GONCALO I,6629954,41
SP,ADAMANTINA,SANTA CASA DE ADAMANTINA,2077647,41
SP,BARIRI,SANTA CASA DE BARIRI,2791676,41
SP,GUARULHOS,PRONTO ATENDIMENTO JARDIM DONA LUIZA,2065444,41
SP,OSASCO,NOTRE DAME INTERMEDICA SAUDE,7148518,41
SP,OSASCO,UPA JOSE SANTOS SASSO,6030807,41
SP,SAO PAULO,HOSPITAL MONTEMAGNO,6148956,41
SP,SAO PAULO,HOSPITAL UNIVERSITARIO DA USP SAO PAULO,2076926,41
SP,SAO ROQUE,HOSPITAL E MATERNIDADE SOTERO DE SOUZA,2082721,41
BA,CAMACARI,HOSPITAL SANTA HELENA,2647036,40
BA,JUAZEIRO,HOSPITAL REGIONAL DE JUAZEIRO,4028155,40
BA,SALVADOR,HOSPITAL DA CIDADE,2384582,40
GO,VALPARAISO DE GOIAS,HOSPITAL MUNICIPAL DE VALPARAISO,6281303,40
MG,BETIM,UPA ALEXANDRE SILVA ARAUJO DINIZ ALTEROSAS,2126052,40
MG,PASSOS,IRMANDADE DA SANTA CASA DE MISERICORDIA DE PASSOS,2775999,40
MG,RIBEIRAO DAS NEVES,HOSPITAL MUNICIPAL SAO JUDAS TADEU,2756749,40
MT,MIRASSOL D'OESTE,SECRETARIA MUNICIPAL DE SAUDE DE MIRASSOL D OESTE,6364012,40
MT,NOVA MARINGA,SECRETARIA MUNICIPAL DE SAUDE DE NOVA MARINGA,6508480,40
