UF;Municipio;Unidade;Notificações
RJ;PARATI;HOSPITAL MUNICIPAL HUGO MIRANDA;  61
RJ;RIO DAS OSTRAS;PRONTO SOCORRO MUNICIPAL RIO DAS OSTRAS;  61
SC;MORRO DA FUMACA;HOSPITAL DE CARIDADE SAO ROQUE;  61
SP;CARAPICUIBA;PRONTO SOCORRO DA VILA DIRCE;  61
SP;ITU;SANTA CASA DE ITU;  61
TO;MIRACEMA DO TOCANTINS;HOSPITAL REGIONAL DE MIRACEMA;  61
AM;SAO PAULO DE OLIVENCA;UNIDADE HOSPITALAR DE SAO PAULO DE OLIVENCA;  60
CE;FORTALEZA;UNIDADE PRONTO ATENDIMENTO JANGURUSSU;  60
CE;MARANGUAPE;HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER;  60
MA;IMPERATRIZ;HOSPITAL DE CAMPANHA COVID 19;  60
MG;POCOS DE CALDAS;HOSPITAL SANTA LUCIA HOSPITAL DO CORACAO;  60
PA;IGARAPE-MIRI;HOSPITAL E MATERNIDADE SANTANA;  60
PR;FRANCISCO BELTRAO;POLICLINICA SAO VICENTE DE PAULA FB;  60
RJ;NOVA FRIBURGO;HOSPITAL SAO LUCAS;  60
RJ;NOVA IGUACU;HOSPITAL GERAL PRONTONIL;  60
RJ;RIO DE JANEIRO;HOSPITAL SAO LOURENCO;  60
RJ;RIO DE JANEIRO;HOSPITAL SAO LUCAS;  60
RN;NATAL;HOSPITAL CENTRAL CORONEL PEDRO GERMANO;  60
RS;ALVORADA;HOSPITAL ALVORADA;  60
SC;VIDEIRA;HOSPITAL SALVATORIANO DIVINO SALVADOR;  60
SP;CRUZEIRO;VISAVE;  60
SP;GUARAREMA;SANTA CASA DE GUARAREMA;  60
SP;GUARULHOS;HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA;  60
SP;SAO PAULO;HOSPITAL MORIAH;  60
BA;SALVADOR;PA RODRIGO ARGOLO;  59
DF;BRASILIA;PRONTO SOCORRO DE FRATURAS;  59
GO;TRINDADE;HOSPITAL DE URGENCIAS DE TRINDADE WALDA FERREIRA DOS SANTOS;  59
MA;SAO LUIS;HOSPITAL DE CAMPANHA COVID 19 HOSPITAL DA MULHER;  59
MG;CONTAGEM;HOSPITAL SANTA RITA;  59
PB;POMBAL;HOSPITAL DISTRITAL SENADOR RUY CARNEIRO;  59
RJ;RIO DE JANEIRO;INSTITUTO ESTADUAL DE HEMATOLOGIA ARTHUR SIQUEIRA CAVALCANTI;  59
RS;MONTENEGRO;HOSPITAL MONTENEGRO;  59
SP;FRANCISCO MORATO;SANTA CASA DE FRANCISCO MORATO;  59
SP;FRANCO DA ROCHA;HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO;  59
ES;SANTA TERESA;HOSPITAL MADRE REGINA PROTMANN;  58
MT;VARZEA GRANDE;HOSPITAL E PRONTO SOCORRO MUNICIPAL DE VARZEA GRANDE;  58
PA;BARCARENA;HOSPITAL MUNICIPAL WANDICK GUTIERREZ;  58
PE;OURICURI;HOSPITAL REGIONAL FERNANDO BEZERRA;  58
PE;RECIFE;HOSPITAL SANTA JOANA RECIFE;  58
PR;SARANDI;METROPOLITANA DE SARANDI;  58
SC;BRACO DO NORTE;HOSPITAL SANTA TERESINHA;  58
SP;EMBU-GUACU;UNIDADE MISTA DE SAUDE DE EMBUGUACU;  58
SP;JACAREI;HOSPITAL ALVORADA JACAREI;  58
SP;LIMEIRA;MEDICAL LIMEIRA;  58
SP;SAO PAULO;HOSPITAL INFANTIL SABARA;  58
TO;PALMAS;HOSPITAL OSWALDO CRUZ;  58
MG;CURVELO;PRONTO ATENDIMENTO MUNICIPAL DR MARCIO CARVALHO LOPES;  57
MT;CUIABA;POLICLINICA VERDAO;  57
PE;CABO DE SANTO AGOSTINHO;UPA CABO DE SANTO AGOSTINHO;  57
PE;FEIRA NOVA;HOSPITAL DE CAMPANHA COVID 19 DE FEIRA NOVA;  57
PE;RECIFE;HOSPITAL DE CANCER DE PERNAMBUCO;  57
PI;TERESINA;HOSPITAL SANTA MARIA;  57
PI;TERESINA;HOSPITAL SAO PAULO;  57
RJ;RIO DE JANEIRO;HOSPITAL CASA SAO BERNARDO;  57
RJ;RIO DE JANEIRO;HOSPITAL ISRAELITA ALBERT SABIN;  57
RJ;RIO DE JANEIRO;HOSPITAL MEMORIAL ENGENHO DE DENTRO;  57
RS;CAMPO BOM;HOSPITAL DE CAMPO BOM DR LAURO REUS;  57
RS;ERECHIM;HOSPITAL DE CARIDADE DE ERECHIM;  57
SP;PERUIBE;AMBULATORIO DE DOENCAS INFECTO CONTAGIOSAS;  57
AM;MANAUS;SPA ZONA SUL;  56
AM;SAO GABRIEL DA CACHOEIRA;HOSPITAL DE GUARNICAO DE SAO GABRIEL DA CACHOEIRA;  56
BA;VITORIA DA CONQUISTA;SAMUR;  56
PE;PAULISTA;HOSPITAL MIGUEL ARRAES;  56
RJ;ARARUAMA;UPA UNIDADE DE PRONTO ATENDIMENTO DE ARARUAMA;  56
RJ;MACAE;CLINICA SAO LUCAS;  56
RJ;RIO DE JANEIRO;HOSPITAL AMERICAN COR;  56
RJ;RIO DE JANEIRO;SMS COORDENADORIA GERAL DE ATENCAO PRIMARIA AP 32;  56
RJ;SAO JOAO DE MERITI;CASA DE SAUDE E MATERNIDADE TEREZINHA DE JESUS LTDA;  56
RN;PAU DOS FERROS;HOSPITAL REGIONAL DR CLEODON CARLOS DE ANDRADE;  56
RO;PORTO VELHO;HOSPITAL UNIMED;  56
RS;CARAZINHO;HOSPITAL COMUNITARIO DE CARAZINHO;  56
RS;SAPIRANGA;HOSPITAL SAPIRANGA;  56
RS;TORRES;HOSPITAL BENEFICENTE NOSSA SENHORA DOS NAVEGANTES;  56
SP;ARARAQUARA;HOSPITAL SAO PAULO;  56
SP;CABREUVA;HOSPITAL SAO ROQUE CABREUVA;  56
SP;ITANHAEM;UNIDADE DE PRONTO ATENDIMENTO DE ITANHAEM;  56
SP;MAIRIPORA;HOSPITAL E MATERNIDADE MAIRIPORA;  56
SP;SANTOS;SECAO PRONTO SOCORRO DA ZONA NOROESTE SEPROS ZNO;  56
SP;SUZANO;HOSPITAL SANTA MARIA DE SUZANO;  56
AM;EIRUNEPE;UNIDADE HOSPITALAR DE EIRUNEPE;  55
AM;MANAUS;HOSPITAL E P S DA CRIANCA DA ZONA LESTE;  55
GO;CALDAS NOVAS;UPA UNIDADE DE PRONTO ATENDIMENTO;  55
GO;NEROPOLIS;HOSPITAL SAGRADO CORACAO DE JESUS NEROPOLIS;  55
MG;BELO HORIZONTE;HOSPITAL EVANGELICO DE BELO HORIZONTE;  55
MG;UBERLANDIA;UAI SAO JORGE;  55
PB;CAMPINA GRANDE;HOSPITAL UNIVERSITARIO ALCIDES CARNEIROUFCG;  55
PB;JOAO PESSOA;COMPLEXO HOSPITALAR DE MANGABEIRA GOV TARCISIO BURITY;  55
PE;GOIANA;HOSPITAL BELARMINO CORREIA;  55
PE;RECIFE;HOSPITAL DE CAMPANHA DO RECIFE HPR V AGAMENON MAGALHAES;  55
PR;CASCAVEL;HOSPITAL POLICLINICA CASCAVEL;  55
RJ;RIO DE JANEIRO;HOSPITAL DO AMPARO;  55
SP;BARRA BONITA;HOSPITAL E MATERNIDADE SAO JOSE BARRA BONITA;  55
SP;BAURU;UPA BELA VISTA;  55
SP;OSASCO;UPA JOSE CAMPOS BARRETO ZEQUINHA BARRETO;  55
SP;SOROCABA;UNIDADE PRE HOSPITALAR ZONA NORTE SOROCABA;  55
BA;SALVADOR;PA MARIA DA CONCEICAO SANTIAGO IMBASSAY;  54
CE;FORTALEZA;HOSPITAL HAROLDO JUACABA;  54
GO;ANAPOLIS;HOSPITAL EVANGELICO GOIANO SA;  54
GO;CATALAO;SANTA CASA DE MISERICORDIA DE CATALAO;  54
MT;SINOP;HOSPITAL E MATERNIDADE DOIS PINHEIROS;  54
PA;ALENQUER;HOSPITAL SANTO ANTONIO;  54
RJ;ANGRA DOS REIS;HOSPITAL DE PRAIA BRAVA;  54
RJ;RIO DE JANEIRO;SMS UPA 24H VILA KENNEDY AP 51;  54
RO;VILHENA;HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA;  54
RS;PAROBE;HOSPITAL SAO FRANCISCO DE ASSIS;  54
SP;BOTUCATU;HOSPITAL UNIMED BOTUCATU;  54
SP;ORLANDIA;HOSPITAL BENEFICENTE SANTO ANTONIO ORLANDIA;  54
CE;CRATO;HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS;  53
CE;SAO GONCALO DO AMARANTE;UNIDADE DE PRONTO ATENDIMENTO DE SAO GONCALO DO AMARANTE;  53
MG;MURIAE;HOSPITAL DO CANCER DE MURIAE;  53
MT;SORRISO;HOSPITAL MATERNIDADE 13 DE MAIO VILA ROMANA;  53
PA;CURUCA;HOSPITAL MUNICIPAL DE CURUCA;  53
PA;OEIRAS DO PARA;HOSPITAL DE PEQUENO PORTE;  53
PA;OURILANDIA DO NORTE;HOSPITAL MUNICIPAL JADSON PESCONI;  53
PE;PAULISTA;UPA PAULISTA;  53
PR;GUARAPUAVA;HOSPITAL DE CARIDADE SAO VICENTE DE PAULO;  53
PR;LONDRINA;HOSPITAL DO CORACAO UNIDADE BELA SUICA;  53
RJ;CABO FRIO;UNIDADE DE PRONTO ATENDIMENTO UPA II;  53
RS;GRAVATAI;HOSPITAL DOM JOAO BECKER;  53
SC;BRUSQUE;IMIGRANTES HOSPITAL E MATERNIDADE;  53
SP;GUARIBA;SANTA CASA DE GUARIBA;  53
SP;OSASCO;PS FENELON GUEDES PEREIRA;  53
SP;REGISTRO;HOSPITAL SAO JOSE REGISTRO;  53
SP;SALTO DE PIRAPORA;SANTA CASA SALTO DE PIRAPORA;  53
SP;SAO BERNARDO DO CAMPO;UPA RIACHO GRANDE;  53
SP;SAO PAULO;HSANP HOSPITAL;  53
SP;SAO PAULO;PSM BALNEARIO SAO JOSE;  53
AL;MACEIO;HOSPITAL VIDA;  52
BA;LAURO DE FREITAS;HOSPITAL AEROPORTO;  52
GO;ANAPOLIS;HOSPITAL DE URGENCIAS DR HENRIQUE SANTILLO;  52
GO;MINEIROS;UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS;  52
MA;CHAPADINHA;HOSPITAL REGIONAL DE CHAPADINHA;  52
MA;PINHEIRO;HOSPITAL REGIONAL DA BAIXADA MARANHENSE DR JACKSON LAGO;  52
MG;BETIM;UPA JOSE SABINO NETO TERESOPOLIS;  52
MG;MONTES CLAROS;HOSPITAL AROLDO TOURINHO;  52
MG;TIMOTEO;UPA GERALDO REIS RIBEIRO;  52
MT;IPIRANGA DO NORTE;PSM IPIRANGA DO NORTE;  52
PA;PACAJA;UNIDADE MISTA DE PACAJA;  52
PI;TERESINA;HOSPITAL RIO POTY;  52
PR;APUCARANA;HNSG HOSPITAL DA PROVIDENCIA;  52
RJ;PETROPOLIS;BENEFICENCIA PORTUGUESA DE PETROPOLIS;  52
RJ;RIO DE JANEIRO;MS INST NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA JAMIL HADDAD;  52
SC;SAO BENTO DO SUL;HOSPITAL E MATERNIDADE SAGRADA FAMILIA;  52
SP;COSMOPOLIS;HOSPITAL BENEFICENTE SANTA GERTRUDES;  52
SP;JAGUARIUNA;HOSPITAL MUNICIPAL WALTER FERRARI;  52
SP;LINS;SANTA CASA DE LINS;  52
SP;MATAO;HOSPITAL CARLOS FERNANDO MALZONI MATAO;  52
SP;MIRANDOPOLIS;HOSPITAL ESTADUAL DE MIRANDOPOLIS DR OSWALDO BRANDI FARIA;  52
SP;SAO JOSE DOS CAMPOS;HOSPITAL POLICLIN;  52
SP;SAO PAULO;HOSP GERAL DE SAO PAULO;  52
SP;SAO PAULO;PS MUN PROF JOAO CATARIN MEZOMO;  52
BA;SALVADOR;UPA 24H PROF ADROALDO ALBERGARIA;  51
ES;LINHARES;VIGILANCIA EPIDEMIOLOGICA;  51
GO;FORMOSA;HOSPITAL REGIONAL DE FORMOSA DR CESAR SAAD FAYAD;  51
GO;PORANGATU;HOSPITAL DE CAMPANHA COVID 19 HCAMP PORANGATU;  51
MG;GUAXUPE;SANTA CASA DE MISERICORDIA DE GUAXUPE;  51
MS;AQUIDAUANA;HOSPITAL DA CIDADE;  51
MT;ARIPUANA;SECRETARIA MUNICIPAL DE SAUDE DE ARIPUANA;  51
PA;CAPANEMA;HOSPITAL REGIONAL PUBLICO DOS CAETES DR JORGE NETO DA COSTA;  51
PE;TORITAMA;HOSPITAL DE CAMPANHA DE TORITAMA;  51
PR;FRANCISCO BELTRAO;HOSPITAL REGIONAL DO SUDOESTE WALTER ALBERTO PECOITS F B;  51
PR;MARINGA;HOSPITAL E MATERNIDADE MARINGA;  51
RJ;CASIMIRO DE ABREU;HOSPITAL MUNICIPAL ANGELA MARIA SIMOES MENEZES;  51
RJ;MARICA;ERNESTO CHE GUEVARA SMSM;  51
RJ;RIO DE JANEIRO;HOSPITAL RIO BOTAFOGO;  51
RN;NATAL;HUOL HOSPITAL UNIVERSITARIO ONOFRE LOPES;  51
RN;PARNAMIRIM;UPA MARIA NAZARE;  51
RS;TRES PASSOS;HOSPITAL CARIDADE TRES PASSOS;  51
SC;CONCORDIA;HOSPITAL SAO FRANCISCO;  51
SC;CURITIBANOS;HOSPITAL HELIO ANJOS ORTIZ;  51
SP;BAURU;HOSPITAL ESTADUAL BAURU;  51
SP;BAURU;UPA GEISEL;  51
SP;SAO PAULO;CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO;  51
AM;URUCURITUBA;UNIDADE HOSPITALAR DE URUCURITUBA;  50
BA;SALVADOR;HOSPITAL SANTA CLARA;  50
CE;IRAUCUBA;HOSPITAL MUNICIPAL DR PEDRO DE CASTRO MARINHO;  50
ES;LINHARES;HOSPITAL GERAL DE LINHARES HGL;  50
MA;IMPERATRIZ;HMI HOSPITAL MUNICIPAL DE IMPERATRIZ;  50
MG;ARAXA;SANTA SANTA CASA DE MISERICORDIA;  50
MT;SINOP;HOSPITAL SANTO ANTONIO;  50
PE;CARUARU;CASA DE SAUDE SANTA EFIGENIA LTDA;  50
RS;VERANOPOLIS;HOSPITAL COMUNITARIO SAO PEREGRINO LAZZIOZI;  50
SE;ARACAJU;CLINICA RENASCENCA SA;  50
SP;CAIEIRAS;HOSPITAL DE CLINICAS CAIEIRAS;  50
SP;CAMPINAS;UNIDADE DE PRONTO ATENDIMENTO CARLOS LOURENCO;  50
SP;MOJI MIRIM;IRMANDADE DA STA CASA DE MISERICORD DE MOGI MIRIM MOGI MIRIM;  50
SP;OSASCO;HOSPITAL E MATERNIDADE NOSSA SENHORA DE FATIMA;  50
AM;MANAUS;HOSPITAL GERAL DE MANAUS;  49
CE;FORTALEZA;UNIDADE PRONTO ATENDIMENTO CONJUNTO CEARA;  49
MG;IBIRITE;NUCLEO DE VIGILANCIA EM SAUDE;  49
MG;MONTES CLAROS;HOSPITAL DAS CLINICAS DOUTOR MARIO RIBEIRO DA SILVEIRA;  49
MS;DOURADOS;UNIDADE DE PRONTO ATENDIMENTO DR AFRANIO MARTINS;  49
PA;MARABA;HOSPITAL REGIONAL DO SUDESTE DO PARA DR GERALDO VELOSO;  49
PE;CAMARAGIBE;HOSPITAL DE ESPECIALIDADES DE CAMARAGIBE ARISTEU CHAVES;  49
PR;SANTO ANTONIO DA PLATINA;HOSPITAL REGIONAL DO NORTE PIONEIRO;  49
RJ;NOVA FRIBURGO;HOSPITAL SERRANO;  49
RJ;NOVA IGUACU;CASA DE SAUDE NOSSA SENHORA DE FATIMA N IGUACU S A;  49
RJ;RIO DE JANEIRO;HOSPITAL MEMORIAL FUAD CHIDID;  49
RJ;RIO DE JANEIRO;HOSPITAL VITAL;  49
RS;OSORIO;HOSPITAL SAO VICENTE DE PAULO;  49
RS;PORTO ALEGRE;HBMPA;  49
SC;TREZE DE MAIO;HOSPITAL SAO SEBASTIAO;  49
SP;ASSIS;UPA RUY SILVA;  49
SP;ITAPEVI;HOSPITAL E MATERNIDADE NOVA VIDA;  49
SP;LENCOIS PAULISTA;HOSPITAL NOSSA SENHORA DA PIEDADE;  49
SP;OSASCO;PRONTO SOCORRO DR OSMAR MESQUITA;  49
AL;MACEIO;HOSPITAL ESCOLA DR HELVIO AUTO;  48
AM;MANAUS;SPA ELIAMEME RODRIGUES MADY;  48
AM;SILVES;UNIDADE HOSPITALAR DE SILVES;  48
BA;SALVADOR;HOSPITAL ARISTIDES MALTEZ;  48
CE;MARANGUAPE;UPA 24HS MARANGUAPE;  48
DF;BRASILIA;UPA UNIDADE DE PRONTO ATENDIMENTO DE SAO SEBASTIAO;  48
MT;GUARANTA DO NORTE;SECRETARIA MUNICIPAL DE SAUDE DE GUARANTA DO NORTE;  48
PA;ITAITUBA;HOSPITAL MUNICIPAL DE ITAITUBA;  48
RN;NATAL;HOSPITAL MARIA ALICE FERNANDES;  48
SP;CAPAO BONITO;SANTA CASA DE CAPAO BONITO;  48
SP;SAO JOSE DOS CAMPOS;HOSPITAL DIA E PRONTO ATENDIMENTO UNIMED SAO JOSE DOS CAMPOS;  48
SP;SAO PAULO;AMA SACOMA;  48
AM;AUTAZES;UNIDADE HOSPITALAR DE AUTAZES;  47
AM;BARREIRINHA;UNIDADE HOSPITAR DE BARREIRINHA;  47
BA;SALVADOR;HOSPITAL PROHOPE;  47
CE;VICOSA DO CEARA;HOSP MATERN MUNICIPAL;  47
GO;MINEIROS;HOSPITAL MUNICIPAL DR EVARISTO VILELA MACHADO;  47
MA;SAO LUIS;HOSPITAL MUNICIPAL DJALMA MARQUES SOCORRAO I;  47
MG;CAMPO BELO;SANTA CASA DE CAMPO BELO;  47
MG;SETE LAGOAS;HOSPITAL MUNICIPAL MONSENHOR FLAVIO DAMATO;  47
PA;MOCAJUBA;HOSPITAL MUNICIPAL MARIA DO CARMO GOMES;  47
PA;NOVO PROGRESSO;HOSPITAL MUNICIPAL DE NOVO PROGRESSO;  47
PE;MORENO;HOSPITAL ARMINDO MOURA;  47
RJ;DUQUE DE CAXIAS;HOSPITAL SANTA BRANCA;  47
RJ;NOVA IGUACU;SES RJ UPA 24H NOVA IGUACU II;  47
RJ;SAO GONCALO;HOSPITAL DR LUIZ PALMIER;  47
RO;JARU;HOSPITAL MUNICIPAL SANDOVAL DE ARAUJO DANTAS JARU;  47
RS;ENCANTADO;HOSPITAL SANTA TERESINHA ENCANTADO;  47
RS;IJUI;HOSPITAL UNIMED;  47
SP;ANDRADINA;SANTA CASA DE ANDRADINA;  47
SP;PINDAMONHANGABA;HOSPITAL 10 DE JULHO;  47
SP;SAO JOAQUIM DA BARRA;SANTA CASA DE SAO JOAQUIM DA BARRA;  47
SP;SAO PAULO;AMA PARELHEIROS;  47
MA;CODO;UPA CODO;  46
MG;JUIZ DE FORA;HOSPITAL ALBERT SABIN;  46
MS;SAO GABRIEL DO OESTE;HOSPITAL MUNICIPAL JOSE VALDIR ANTUNES DE OLIVEIRA;  46
PE;IGARASSU;UPA IGARASSU;  46
RJ;MAGE;HOSPITAL MUNICIPAL DE MAGE;  46
RJ;RIO DE JANEIRO;MS INC INSTITUTO NACIONAL DE CARDIOLOGIA;  46
RO;BURITIS;HOSPITAL REGIONAL DE BURITIS;  46
RS;TRAMANDAI;HOSPITAL TRAMANDAI;  46
SC;GASPAR;HOSPITAL DE GASPAR;  46
SC;XAXIM;HOSPITAL FREI BRUNO;  46
SE;ARACAJU;HOSPITAL SANTA IZABEL;  46
SP;CACAPAVA;HOSPITAL UNIMED DE CACAPAVA;  46
SP;TATUI;HOSPITAL UNIMED TATUI JOSE FCO M DE ALMEIDA DR KIKO;  46
BA;TEIXEIRA DE FREITAS;UPA UNIDADE DE PRONTO ATENDIMENTO;  45
CE;PARAIPABA;HOSP MUNIC DE PARAIPABA;  45
GO;GOIANIA;HOSPITAL GERAL DE GOIANIA DR ALBERTO RASSI HGG;  45
MA;BARREIRINHAS;HOSPITAL REGIONAL DE BARREIRINHAS;  45
MA;LAGO DA PEDRA;HOSPITAL PROFESSOR SERRA DE CASTRO;  45
MA;SAO BERNARDO;HOSPITAL MUNICIPAL FELIPE JORGE;  45
MA;SAO LUIS;SOCORRAO II;  45
MG;CONTAGEM;UNIDADE DE PRONTO ATENDIMENTO UNIDADE XVI UPA XVI;  45
MG;IPATINGA;UPA JOSE ISABEL DE NASCIMENTO;  45
MT;CUIABA;HOSPITAL SANTA HELENA;  45
PA;BELEM;UPA DASAC;  45
PB;SAO BENTO;HOSPITAL MARIA PAULINO LUCIO;  45
RJ;BELFORD ROXO;HOSPITAL MUNICIPAL DE BELFORD ROXO;  45
SC;FLORIANOPOLIS;HOSPITAL BAIA SUL;  45
SP;AMPARO;BENEFICENCIA PORTUGUESA DE AMPARO;  45
SP;BAURU;HOSPITAL E MATERNIDADE MARIA JOSE;  45
SP;ITATIBA;SANTA CASA DE MISERICORDIA DE ITATIBA;  45
SP;MAIRIPORA;HOSPITAL DE CAMPANHA COVID 19 DE MAIRIPORA;  45
SP;RIBEIRAO PRETO;VIGILANCIA EPIDEMIOLOGICA DE RIBEIRAO PRETO DIVISAO;  45
SP;SOCORRO;HOSPITAL DR RENATO SILVA DE SOCORRO;  45
AM;MANAUS;HOSPITAL PORTUGUES;  44
BA;SALVADOR;SEMEC CENTRO MEDICO HOSPITALAR AGENOR PAIVA;  44
CE;CASCAVEL;UPA IRMA SILVEIRA;  44
CE;FORTALEZA;UNIDADE PRONTO ATENDIMENTO AUTRAN NUNES;  44
DF;BRASILIA;UPA NUCLEO BANDEIRANTE;  44
GO;AGUAS LINDAS DE GOIAS;HOSPITAL MUNICIPAL BOM JESUS;  44
GO;GOIANIA;HOSPITAL MATERNO INFANTIL;  44
MA;CODO;HGM HOSPITAL GERAL MUNICIPAL DR MARCOLINO JR;  44
MG;BELO HORIZONTE;HOSPITAL DA BALEIA;  44
MG;DIVINOPOLIS;UPA 24 HORAS PADRE ROBERTO CORDEIRO MARTINS;  44
MG;JANAUBA;HOSPITAL REGIONAL DE JANAUBA;  44
MS;DOURADOS;HOSPITAL DA VIDA;  44
MT;CUIABA;HOSPITAL MUNICIPAL DE CUIABA E P S DR LEONY PALMA CARVALHO;  44
PA;IRITUIA;HOSPITAL MUNICIPAL DE IRITUIA;  44
PA;SALINOPOLIS;HOSPITAL REGIONAL DR OLIMPIO CARDOSO DA SILVEIRA;  44
PA;SENADOR JOSE PORFIRIO;HOSPITAL MUNICIPAL DE SENADOR JOSE PORFIRIO;  44
PE;LAJEDO;HOSPITAL MARIA DA PENHA DOURADO CAVALCANTE;  44
PR;PARANAVAI;SANTA CASA DE PARANAVAI;  44
RJ;BELFORD ROXO;UPA 24H BOM PASTOR BELFORD ROXO;  44
RJ;RIO BONITO;UNIDADE DE PRONTO ATENDIMENTO UPA RIO BONITO;  44
RJ;RIO DE JANEIRO;SES UPA 24H MARE AP 31;  44
RO;PORTO VELHO;HOSPITAL DE AMOR AMAZONIA;  44
SC;JOINVILLE;CENTRO HOSPITALAR UNIMED;  44
SP;HORTOLANDIA;HOSPITAL SAMARITANO;  44
SP;PIEDADE;SANTA CASA PIEDADE;  44
AL;MACEIO;UPA 24 HORAS DR ISMAR GATTO;  43
CE;CAUCAIA;UNIDADE DE PRONTO ATENDIMENTO DE CAUCAIA;  43
ES;CACHOEIRO DE ITAPEMIRIM;POLICLINICA PAULO PEREIRA GOMES;  43
GO;GOIANIA;HOSPITAL SAMARITANO;  43
GO;VALPARAISO DE GOIAS;CAIS VALPARAISO II;  43
MA;BALSAS;HOSPITAL REGIONAL DE BALSAS;  43
MG;BELO HORIZONTE;HOSPITAL UNIVERSITARIO CIENCIAS MEDICAS;  43
MG;OURO PRETO;OURO PRETO SANTA CASA DE OURO PRETO;  43
MS;PONTA PORA;HOSPITAL REGIONAL DR JOSE DE SIMONE NETTO;  43
MT;PEIXOTO DE AZEVEDO;SECRETARIA MUNICIPAL DE SAUDE DE PEIXOTO DE AZEVEDO;  43
PE;PETROLINA;HU UNIVASF;  43
PE;SALGUEIRO;HOSPITAL REGIONAL INACIO DE SA;  43
PE;SAO CAITANO;HOSPITAL MUNICIPAL ADOLPHO PEREIRA CARNEIRO;  43
RJ;MIGUEL PEREIRA;HOSPITAL MUNICIPAL LUIZ GONZAGA;  43
RJ;PETROPOLIS;HOSPITAL CLINICO DE CORREAS H C C;  43
RJ;RIO DE JANEIRO;SMS UPA 24 H SEPETIBA AP 53;  43
RJ;SAO FRANCISCO DE ITABAPOANA;HOSPITAL MUNICIPAL MANOEL CAROLA;  43
RO;JI-PARANA;POLO REGIONAL DE JI PARANA;  43
SC;ICARA;FUNDACAO SOCIAL HOSPITALAR DE ICARA;  43
SP;AGUDOS;CENTRO DE SAUDE II DR JACOB CASSEB;  43
SP;SAO PAULO;HOSP INDEPENDENCIA;  43
BA;JUAZEIRO;UPA DR JOAO OLIVEIRA;  42
BA;SALVADOR;UPA 24H BROTAS;  42
MG;UBERABA;CLINICAS INTEGRADAS HOSPITAL UNIVERSITARIO MARIO PALMERIO;  42
MS;CAMPO GRANDE;CLINICA DE CAMPO GRANDE SA;  42
MT;JANGADA;PRONTO ATENDIMENTO MUNICIPAL DE JANGADA;  42
PB;JOAO PESSOA;HOSPITAL DE GUARNICAO DE JOAO PESSOA;  42
RJ;NITEROI;HOSPITAL SAO LUCAS;  42
RS;TENENTE PORTELA;HOSPITAL SANTO ANTONIO TENENTE PORTELA;  42
SP;BARUERI;HOSPITALIS;  42
SP;PORTO FERREIRA;HOSPITAL DONA BALBINA;  42
SP;RIO CLARO;HOSPITAL DE CAMPANHA COVID 19 PA 24 H BAIRRO CHERVEZON;  42
SP;SAO JOSE DO RIO PRETO;SECRETARIA MUNICIPAL DE SAUDE;  42
SP;TATUI;SANTA CASA DE MISERICORDIA DE TATUI;  42
AL;MACEIO;HUMANITE COMPLEXO MEDICO HOSPITALAR LTDA;  41
AP;MACAPA;SEMSA;  41
CE;BARBALHA;SERVICO DE VERIFICACAO DE OBITOS E CAUSAS MORTIS SVO;  41
CE;FORTALEZA;HOSPITAL E MATERNIDADE GASTROCLINICA;  41
ES;VILA VELHA;HOSPITAL ANTONIO BEZERRA DE FARIAS;  41
ES;VITORIA;HOSPITAL SANTA CASA DE VITORIA;  41
GO;GOIANIA;CAIS VILA NOVA;  41
MA;CHAPADINHA;UPA JOSE OLIVEIRA NUNES;  41
MG;CARANGOLA;HOSPITAL EVANGELICO DE CARANGOLA;  41
MG;CONTAGEM;UNIDADE DE PRONTO ATENDIMENTO PETROLANDIA UPA;  41
MG;FRUTAL;HOSPITAL MUNICIPAL FREI GABRIEL;  41
MG;JUIZ DE FORA;HPS DR MOZART GERALDO TEIXEIRA;  41
PA;SAO DOMINGOS DO ARAGUAIA;HOSPITAL MUNICIPAL DE SAO DOMINGOS DO ARAGUAIA;  41
PB;JOAO PESSOA;SERVICO DE VERIFICACAO DE OBITO DE JOAO PESSOA SVO;  41
PE;ARCOVERDE;HOSPITAL REGIONAL RUI DE BARROS CORREIA;  41
RJ;RIO DE JANEIRO;HOSPITAL SAO LUCAS COPACABANA;  41
RJ;SAO GONCALO;HOSPITAL DO CORACAO SAMCORDIS;  41
RJ;SAO GONCALO;SES RJ UPA 24H SAO GONCALO I;  41
SP;ADAMANTINA;SANTA CASA DE ADAMANTINA;  41
SP;BARIRI;SANTA CASA DE BARIRI;  41
SP;GUARULHOS;PRONTO ATENDIMENTO JARDIM DONA LUIZA;  41
SP;OSASCO;NOTRE DAME INTERMEDICA SAUDE;  41
SP;OSASCO;UPA JOSE SANTOS SASSO;  41
SP;SAO PAULO;HOSPITAL MONTEMAGNO;  41
